Cycle\Fluorescence,A1FAM,A2FAM,A3FAM,A4FAM,A5FAM,A6FAM,A7FAM,A8FAM,A9FAM,B1FAM,B2FAM,B3FAM,B4FAM,B5FAM,B6FAM,B7FAM,B8FAM,B9FAM,C1FAM,C2FAM,C3FAM,C4FAM,C5FAM,C6FAM,C7FAM,C8FAM,C9FAM,D1FAM,D2FAM,D3FAM,D4FAM,D5FAM,D6FAM,D7FAM,D8FAM,D9FAM,D10FAM,D11FAM,D12FAM,E1FAM,E2FAM,E3FAM,E4FAM,E5FAM,E6FAM,E7FAM,E8FAM,E9FAM,E10FAM,E11FAM,E12FAM,F1FAM,F2FAM,F3FAM,F4FAM,F5FAM,F6FAM,F7FAM,F8FAM,F9FAM,G1FAM,G2FAM,G3FAM,G4FAM,G5FAM,G6FAM,G7FAM,G8FAM,G9FAM,G10FAM,G11FAM,G12FAM,H1FAM,H2FAM,H3FAM,H4FAM,H5FAM,H6FAM,H7FAM,H8FAM,H9FAM,H10FAM,H11FAM,H12FAM
1,0.001312309,0.0009519157,0.005002251,-0.004115607,0.007760891,-0.003985189,-0.001519026,-0.003955387,-0.009534558,0.002343051,0.0055011,0.006135117,0.002644307,0.002459152,-0.00549719,-0.002877714,-0.004670821,-0.006896931,-0.009519615,-0.003800133,-0.001959119,0.002342306,0.0009327813,-0.0006554747,-0.005468993,-0.008734323,-0.009549635,-0.003165002,-0.004133166,-0.006166697,-0.008140959,-0.0005005283,-0.00210095,-0.007247746,-0.006181939,-0.001391338,-0.007015548,-0.006935465,-0.0151228,-0.0002520485,0.001147466,-0.005144468,-0.007452371,-0.006233356,-0.003758942,-0.009236354,-0.009019281,-0.006253044,-0.01191515,-0.008801721,-0.006546,-0.002906558,-0.001207638,-0.002614097,-0.00276126,-0.002056113,-0.00491293,-0.01035431,-0.005693694,-0.01259662,0.003773281,0.006075704,0.001666501,0.0001510245,-0.001808926,0.00523803,-0.000412016,0.004110474,-0.00275801,-0.003878433,-0.005232663,-0.00714934,-0.001846962,-0.001481308,-0.002014879,-0.00478527,0.003326443,-0.006729768,-0.01510472,-0.00529573,0.008675677,0.005582517,-0.0074432,-0.0127448
2,0.01355255,0.01071141,0.01487444,0.01121851,0.01580183,0.008218168,0.001760086,0.006400915,0.001253585,0.01275525,0.01237898,0.01294428,0.01479845,0.01192738,0.006666553,0.006436436,0.002660054,0.004326206,0.005432697,0.008036465,0.009595069,0.01219264,0.01088588,0.009504797,-0.002060578,0.002869144,0.001112931,0.01090701,0.006518104,0.008792229,0.006772104,0.006237957,0.01085825,0.003882181,0.00463746,0.006357001,0.008106957,0.007502507,-0.0003919327,0.01262215,0.01200522,0.006934687,0.00360222,0.005961204,0.008863814,0.00401259,0.003125525,0.00413652,0.002176882,0.004231749,0.003651918,0.00824896,0.01002567,0.009381494,0.006701371,0.006004035,0.004180239,0.0003960594,0.006587017,0.002790166,0.01253248,0.01463773,0.01202485,0.009181656,0.006457021,0.01021695,0.006822461,0.009479887,0.006919648,0.01033936,0.009398015,0.005484567,0.009843628,0.01030734,0.01108249,0.004571826,0.01062697,0.005578401,-0.008231244,0.00249565,0.004163858,0.006736497,0.0002777342,0.001703818
3,0.01104676,0.007896756,0.009030385,0.01552481,0.009587908,0.006033999,0.003078148,0.006319322,0.001812581,0.01137874,0.01038862,0.008667196,0.01034363,0.0079781,0.005417081,0.004522144,0.003152469,0.003664435,0.007125633,0.005715828,0.009181572,0.009213096,0.008431996,0.00861218,0.001605213,0.003302537,0.00174033,0.009791979,0.006820971,0.006702096,0.006683961,0.006548275,0.008459668,0.003579865,0.006858096,0.005867722,0.008864908,0.007769811,-0.0002537071,0.009899881,0.008520599,0.007375679,0.006124733,0.006643991,0.006632067,0.003671639,0.002700776,0.002461005,0.003469395,0.005267672,0.003115718,0.006456075,0.008025742,0.006930824,0.005637236,0.006208561,0.004678487,0.002406407,0.008513008,0.0003794147,0.01122098,0.01174549,0.009325634,0.007887869,0.00543303,0.008467189,0.003380278,0.006264998,0.002680497,0.009160785,0.008099761,0.005280301,0.009131509,0.008369377,0.008739876,0.003819618,0.009409555,0.005326068,-0.008932075,0.003115099,0.002018122,0.00493715,0.0004026701,0.001527738
4,0.005502179,0.001970941,0.004107087,0.003248947,0.004397725,0.003177043,0.0004136807,0.005703289,-0.002072101,0.004846602,0.005107296,0.004217542,0.005665682,0.004108196,0.003340522,0.00200532,0.001115903,0.001142446,0.002088028,0.001703883,0.004019189,0.00347333,0.002946252,0.003443985,-0.001523509,0.0005280786,-5.152309E-05,0.003879718,0.002421363,0.003123929,0.001156964,0.002036113,0.004191319,0.0008407813,0.00396697,0.003643765,0.002842768,0.002876245,-0.001322923,0.003427408,0.005088584,0.002044332,0.0005466643,0.001609612,0.002022297,-0.0008683295,0.001799493,0.0002662952,0.0004603295,0.002275926,-0.0008596824,0.00219246,0.00392346,0.003163997,0.0008191526,0.002201542,0.001568965,-0.001580184,0.006688507,-0.001573731,0.004846106,0.0053041,0.00392989,0.003090218,0.003027143,0.005451766,0.002432861,0.002064894,0.0007149856,0.005074076,0.003182334,0.002627219,0.003249937,0.003861473,0.003261692,0.001533576,0.002146462,0.0004820125,-0.01066838,0.0006332253,0.0006705546,-0.000663592,-0.001817308,-0.0007289812
5,-0.003094963,-0.005525791,-0.003164808,-0.004523564,-0.003875132,-0.004755588,-0.0001941568,0.003158255,-0.007097991,-0.002583657,-0.002748437,-0.003914868,-0.003524994,-0.003577296,-0.005170176,-0.003497947,-0.003484248,-0.003289587,-0.00572307,-0.004673377,-0.004521616,-0.00343506,-0.004453131,-0.004756081,-0.006134263,-0.004594708,-0.004112609,-0.003642098,-0.005521368,-0.005428068,-0.005733266,-0.006034595,-0.004096044,-0.003742505,-0.001576677,-0.002701401,-0.005739231,-0.004374894,-0.00857892,-0.004751955,-0.003978264,-0.006249131,-0.005387278,-0.005087527,-0.004048724,-0.005235491,-0.003917106,-0.002496026,-0.005559954,-0.003536115,-0.004384731,-0.0056367,-0.004689135,-0.005361026,-0.00415092,-0.002214853,-0.004254688,-0.00480186,0.005332833,-0.004866799,-0.002376516,-0.003268094,-0.003662518,-0.002037028,-0.002916525,0.0001842191,-0.004234007,-0.002791815,-0.003190448,-0.004658337,-0.004634499,-0.004756861,-0.003304603,-0.004069912,-0.003400204,-0.003239986,-0.0007724364,-0.00344098,-0.01532853,-0.004629848,-0.004899881,-0.005646927,-0.006681853,-0.005693516
6,-0.002114076,-0.002186269,-0.001572754,-0.00231923,-0.002289169,-0.004293261,0.000844103,0.007771994,-0.004129145,-0.002582125,-0.001163427,-0.002541825,-0.002033499,-0.003325052,-0.002903831,-0.001734107,-0.002048559,-0.003390524,-0.003190669,-0.003542104,-0.00225886,-0.003356708,-0.004238268,-0.002940616,-0.004700281,-0.003367575,-0.003927838,-0.003656845,-0.003609604,-0.003649316,-0.004083567,-0.004259632,-0.002520329,-0.002772019,0.001259609,-0.00226812,-0.003089919,-0.003726342,-0.004538264,-0.003026337,-0.002948184,-0.003164403,-0.00282473,-0.002587092,-0.002678533,-0.001915613,-0.003507771,-0.001847584,-0.00350601,-0.004468028,-0.002552148,-0.003399484,-0.002747808,-0.002770239,-0.001727791,-0.003594433,-0.002898608,-0.003357862,0.006282796,-0.004095091,-0.00254009,-0.002386701,-0.002284646,-0.00111805,-0.002017037,0.0009136471,-0.0002001182,-0.002180491,-0.002833866,-0.002721843,-0.003035891,-0.002765886,-0.003587978,-0.001562907,-0.002452431,-0.002793337,-0.00221418,-0.001888158,-0.01526192,-0.003536258,-0.003056515,-0.002727557,-0.003317798,-0.002564468
7,-0.0007163043,-0.002537206,-0.002025713,-0.0005790046,-0.001652382,-0.001657772,0.002088694,0.008761759,-0.001918055,-0.001267681,-0.001439966,-0.0008546863,-0.001350837,-0.002372097,-0.002546151,-0.002049996,6.416685E-05,-0.003046338,-0.001376113,-0.0008392045,-0.001816202,-0.001680457,-0.0009309945,-0.001678192,-0.002104478,-0.003116017,-0.001687379,-0.0009083116,-0.002304133,-0.00170593,-0.00210996,-0.002362613,-0.002456635,-0.001826325,0.004864539,0.001491661,-0.002617303,-0.00169296,-0.002822749,-0.001485441,-0.002218224,-0.001335767,-0.002539775,-0.001954416,-0.0002007697,-0.002033382,-0.002668902,-0.000469721,-0.002061323,-0.0007185034,-0.002843761,-0.001798442,-0.00117268,-0.0019906,-0.001628563,-0.0002944585,-0.0009457308,-0.00363789,0.010554,-0.002305459,-0.001027964,-0.0007603418,-0.001546052,0.0004895866,-0.002032546,-0.000364608,-0.00060568,-0.002162013,-0.001206614,-0.001450865,-0.001259248,-0.001129918,-0.00199196,-0.001677122,-0.001461615,-0.001195762,-0.0009827539,-0.0006371012,-0.01078052,-0.001404015,-0.00157917,-0.003347491,-0.001832527,-0.002038707
8,-0.001023973,-0.0005402884,0.0001001126,0.0006791503,-0.001454335,-0.0009930112,0.005269291,0.01296661,0.000206172,-0.0004365587,-0.0007044571,-0.000796638,-0.0009052461,-0.0008525522,-0.000252144,-4.549218E-05,-1.217396E-05,-0.0002085749,0.0004414112,-0.000936255,-2.463826E-05,-0.0008970455,-0.001033057,-0.0004042363,-0.001378585,-0.001889504,-0.001003891,-0.0006432728,-0.0007916357,-0.0009624684,-0.001685481,-0.0007747968,-0.001534918,-0.0004108118,0.006147517,0.0009387571,-0.001639237,-0.0004024524,-0.001259524,-0.0005152805,-0.0006186736,0.000276775,0.0002051592,-0.0003741942,-0.001436632,0.001616806,-0.001122073,-0.0002207094,-0.0007190282,0.000411049,-0.002739375,-0.0001589338,-0.001025466,-0.0007131086,6.400317E-05,0.0008958165,-0.0003348696,-0.00131658,0.01360286,-0.001215216,-0.0007462244,-0.0006239148,-0.0002497899,-0.0003081702,0.000265551,7.257619E-05,-0.001544869,-0.001114792,-0.001272177,-0.000904126,-5.485745E-05,-4.940053E-05,-0.0005728171,-0.0008817535,-0.001018126,-6.538859E-05,-0.0007991588,-0.000881821,0.006113667,-0.0002397813,-0.0009487184,0.0007459638,-0.0006754482,-0.0006269324
9,-0.0006563555,5.268688E-05,-0.0001193216,-0.001622851,-0.000304239,0.0002135552,0.004410143,0.01276684,-0.00123323,-5.787942E-05,-0.001062211,0.0001036261,-0.0008891735,-0.0001705751,-0.0002208733,0.0004573409,-0.001088162,-0.0006821095,-0.0001408001,-0.0009671616,-0.0004504512,-0.0003891633,0.0005538717,-0.0004569342,0.0007634858,-0.000447646,-0.0002163344,0.00038882,-0.0001368222,-0.0002854937,0.0001839152,-0.0005756795,0.0001805437,-0.0001217744,0.009330581,-0.001435258,-0.0005198619,0.0005180201,0.000137813,0.0003612778,-0.000593993,-0.0003510939,0.000623567,-0.0003200679,0.0005850723,-0.0006396879,0.0006865232,-0.000838722,-4.482433E-05,-0.001095157,0.0008984957,0.0006491096,-0.0005673746,5.508919E-05,0.0001513661,-0.0004492123,-0.0001609678,-0.0002847,0.0131054,0.0003435946,-0.000754763,6.554378E-05,-0.0001096672,-0.0008439967,4.949445E-05,-0.001115507,-0.001155867,-0.0009044209,-0.001558804,-0.000866311,-0.0005799371,9.409437E-05,0.0003928918,-0.000694893,-0.0001932042,-0.000321746,0.0007614351,0.0008700031,0.002115333,0.0002441085,-0.00052651,0.00157659,-0.0005267304,-0.0006586627
10,-0.0009330158,0.001623651,-0.0009759458,-0.0008287819,-0.0003355821,0.0006342195,0.008640525,0.01502788,-0.0008079556,3.63859E-05,-0.0002010168,-7.28962E-06,-0.0005718801,0.0005798309,0.0003276734,0.00122706,0.0008431643,0.0004881017,0.0005584396,-0.0001634292,-0.0006329647,0.0003102244,0.000705875,-0.0003316309,0.0002091391,0.0001483426,-0.000256595,-7.861456E-05,9.210677E-05,0.001385614,0.0006252998,0.002080792,0.0004035507,0.001363274,0.009264546,0.0008443445,0.0008087584,0.0001265497,0.001165303,0.0004219508,0.0002758067,0.001136375,0.001153185,-0.0001429429,-0.0001900769,0.0007219238,-0.0002938849,0.001951479,0.0002809086,0.0001606852,-0.001633228,3.094E-05,-0.0002857915,8.223832E-05,-0.0002223219,0.0002672964,-0.001266288,0.001053147,0.01684193,0.0001008396,0.0003417364,0.0003353491,0.0009179623,-1.451156E-05,0.0003603969,-0.001456191,-0.001540272,-0.0003121028,-0.0007061884,0.0005556665,-0.0003343848,-0.000293712,0.0005140785,-0.000269801,0.0004860497,5.93408E-05,0.0001537392,0.0006388763,0.003638683,-0.0006116869,-0.002049837,-0.0004550166,0.0002736167,-2.837174E-05
