Cycle\Fluorescence,A1SYBRGreenI,A2SYBRGreenI,A3SYBRGreenI,A4SYBRGreenI,A5SYBRGreenI,A6SYBRGreenI,A7SYBRGreenI,A8SYBRGreenI,A9SYBRGreenI,A10SYBRGreenI,A11SYBRGreenI,A12SYBRGreenI,B1SYBRGreenI,B2SYBRGreenI,B3SYBRGreenI,B4SYBRGreenI,B5SYBRGreenI,B6SYBRGreenI,B7SYBRGreenI,B8SYBRGreenI,B9SYBRGreenI,B10SYBRGreenI,B11SYBRGreenI,B12SYBRGreenI,C1SYBRGreenI,C2SYBRGreenI,C3SYBRGreenI,C4SYBRGreenI,C5SYBRGreenI,C6SYBRGreenI,C7SYBRGreenI,C8SYBRGreenI,C9SYBRGreenI,C10SYBRGreenI,C11SYBRGreenI,C12SYBRGreenI,D1SYBRGreenI,D2SYBRGreenI,D3SYBRGreenI,D4SYBRGreenI,D5SYBRGreenI,D6SYBRGreenI,D7SYBRGreenI,D8SYBRGreenI,D9SYBRGreenI,D10SYBRGreenI,D11SYBRGreenI,D12SYBRGreenI,E1SYBRGreenI,E2SYBRGreenI,E3SYBRGreenI,E4SYBRGreenI,E5SYBRGreenI,E6SYBRGreenI,E7SYBRGreenI,E8SYBRGreenI,E9SYBRGreenI,E10SYBRGreenI,E11SYBRGreenI,E12SYBRGreenI,F1SYBRGreenI,F2SYBRGreenI,F3SYBRGreenI,F4SYBRGreenI,F5SYBRGreenI,F6SYBRGreenI,F7SYBRGreenI,F8SYBRGreenI,F9SYBRGreenI,F10SYBRGreenI,F11SYBRGreenI,F12SYBRGreenI,G1SYBRGreenI,G2SYBRGreenI,G3SYBRGreenI,G4SYBRGreenI,G5SYBRGreenI,G6SYBRGreenI,G7SYBRGreenI,G8SYBRGreenI,G9SYBRGreenI,G10SYBRGreenI,G11SYBRGreenI,G12SYBRGreenI,H1SYBRGreenI,H2SYBRGreenI,H3SYBRGreenI,H4SYBRGreenI,H5SYBRGreenI,H6SYBRGreenI,H7SYBRGreenI,H8SYBRGreenI,H9SYBRGreenI,H10SYBRGreenI,H11SYBRGreenI,H12SYBRGreenI
1,0.002513243,-0.005003279,0.002231718,-0.00142842,-0.001077479,-0.00461999,-0.001552575,0.00206996,-0.009406596,-0.008162905,-0.002930545,-0.002137939,-0.001931192,0.001438818,0.003592196,0.0005876127,0.00104378,-0.003839157,-0.001697562,-0.002460605,-0.00719426,-0.009033676,-0.003907753,0.000494917,-0.001691634,-0.00397294,-3.380086E-05,0.002094444,-0.003568317,-0.004224035,0.0009008034,-0.003392367,-0.002738744,-0.001020637,-0.003542007,-0.00401059,-0.003628584,-0.004137321,5.878035E-05,-0.001732472,-0.004765319,-0.01125334,0.0001778602,-4.405895E-05,-0.002257432,-0.004479771,-0.0009831968,-0.005125453,-0.0002458687,0.0008394805,0.001328228,-0.0006599006,-0.0005333562,-9.391239E-05,-0.0007303522,-0.0008229155,-0.003432094,-0.002813731,-0.003601414,-0.0009250201,-9.93006E-05,0.000976617,0.0002792883,-0.001169876,0.00102679,-0.00154741,-0.001674933,-0.002406064,-0.002240088,-0.00042128,-0.001831376,-0.0007463374,0.002116071,0.002371315,-9.519327E-05,-0.0002455093,-0.0008867877,0.0004363778,-0.00104453,-0.001455142,-0.0008312195,1.018672E-05,-0.0007397564,0.001120446,0.001488629,0.0009923402,0.001679991,-0.0002227662,0.0008729171,-0.001338951,-2.010277E-05,-0.0008433517,-0.001184518,-0.0009599215,-0.002046968,-0.002359162
2,0.0003140447,-0.005357608,-0.0008057526,0.0003209008,-0.00169943,-0.003909696,-0.0007771181,0.003051664,-0.00256577,-0.002821453,-1.153629E-05,-0.0005618669,-0.0006694966,-0.002903789,-0.00166879,-0.001542566,0.001936779,0.001123719,-0.002151088,-0.002215212,-0.00173525,-0.004402152,-0.00104869,0.004883378,-0.0003559902,-6.115089E-05,0.000361689,-0.001496924,-4.126308E-05,0.0001198504,0.0002104132,0.0006686397,-0.0007147135,-0.0003492396,0.0004278666,-0.002738601,-0.001710799,-0.001740304,0.0007409759,-0.001697286,0.000584046,-0.01121455,0.001080872,0.001270679,0.0008001501,-0.001991242,-0.003887202,0.000315985,0.00143057,0.0008631917,-0.0007865225,-0.0004177013,-6.690677E-05,-0.0007433558,0.0004004194,-0.0004183233,-0.001503195,0.001519162,-0.001055712,-0.00259153,0.0006087999,-0.0009917861,-0.0007235992,0.001011024,0.005025262,-0.0008856144,-0.0005557289,-0.001688337,-0.001108215,-0.0004621026,-0.0006562858,-0.0009698889,-0.0001233444,0.001107064,0.001351955,-0.000883411,-0.001165414,-0.0004316423,0.0002501588,0.001624282,-0.001514022,0.0001175539,0.0009952717,-0.001338792,-0.0005635842,0.0003293737,-0.0009484719,0.000671895,0.0005946491,-2.734082E-05,-0.0001078177,-0.0004684908,0.0007777713,-0.00259243,-0.001466441,0.009204723
3,-0.001615597,0.0006028534,0.0002217256,0.0008830864,-0.0009480739,0.0001879722,-0.0007079141,0.006203002,-0.001722107,-0.002298482,-0.003322493,0.0004451441,-0.001440834,0.001578208,0.0007394837,0.0009823811,0.000754224,0.002870382,-0.0004545451,-0.000792956,-0.003057556,-0.001597292,-0.003687568,0.003547643,0.0004436209,2.915396E-05,-0.001137886,-0.0007954455,-8.352673E-05,0.003696984,0.003854684,-0.001011783,-0.00175655,0.0007325804,9.588684E-06,-0.001614916,-0.0008816861,0.0008119969,0.001786032,0.0004067966,0.002418259,-0.005777625,0.001491206,0.001376446,0.002190918,9.654346E-05,-0.001127144,-0.002648642,0.0009784136,-0.002603518,-0.001842489,-0.0006525917,0.0001686862,0.00122655,-0.0002209435,-0.0008807765,-0.002121639,0.00130057,-0.0004458984,0.0006120754,0.001427503,0.0007468915,-0.0001363054,-0.0001266411,0.006597196,0.001775531,0.00119465,0.001714632,5.824226E-06,0.0006043705,-0.001441707,-0.002182436,0.001069047,-1.410929E-06,0.0009649539,-0.0002284642,-0.001028484,-0.001086293,-0.0001670369,0.0007904554,-0.001692019,0.001270742,-0.002062807,0.0004733971,-0.0005888424,-5.162048E-05,-0.001560158,-0.0006565258,-0.0007617403,9.722748E-05,-0.0008537208,-0.0009746823,-0.001146321,-0.001949922,-0.002354046,0.01454375
4,-0.001144434,0.002011635,0.0001587008,0.0003131593,0.002041708,0.003993424,-0.0004680755,0.006542148,-0.0002407322,0.003077417,-0.0003233707,0.002377517,0.001348411,0.001373586,-0.0001841449,-0.0006256094,-0.003926717,0.00034202,-0.002144222,-0.002232129,0.002012578,0.001652127,-0.0002355346,0.008009765,-2.130867E-05,0.002282137,0.001850066,-0.0001387889,0.003284571,0.000819799,0.00492399,0.0002666975,-0.001743374,-0.0006700924,0.003250621,0.0003552758,0.002119022,5.003162E-05,0.004596243,0.002471684,0.00280866,0.009889638,-0.001584214,0.0009362365,0.0009075037,-2.416274E-05,-0.0001834307,-0.0002129116,-0.0004656956,0.001203691,-0.001737054,0.001076721,0.0001698434,0.002729436,1.701149E-05,-0.0004861666,5.171713E-05,0.002520551,0.0006498572,0.001554412,-0.001579998,-0.001646863,-0.0006436133,0.00080248,0.007109298,0.001691812,0.0007956873,-0.0003078415,-0.001158515,0.0001552674,-0.0001715534,-0.0003888907,-0.0007723656,-0.0005567247,0.0002125245,-0.0007629962,0.001069986,0.0011068,-0.0004272505,-0.0002470648,0.0003024063,0.00179479,0.0008273946,0.003160629,0.0008204993,0.0009311588,0.0009386623,0.0007575734,-0.0006547989,0.001934938,0.0001791797,0.0009382588,0.000170049,-0.001146886,0.0007528191,0.02049923
5,-0.001231029,-0.003134032,-0.0003280301,0.00180504,0.008461951,0.01128352,-0.001068684,0.006773096,-0.00199183,0.000275273,0.001349174,0.001647732,0.0008872531,0.002194903,-0.001115087,-0.0003223763,-0.00255424,0.0003162989,-0.0004025385,-0.001092579,0.003498087,0.003000305,0.0002156224,0.006842988,0.002054234,0.000911661,0.0005711351,-0.001053533,0.001390348,-0.0002521009,0.003967862,0.001493579,-0.0009709894,0.0001604399,0.003115429,3.483438E-05,0.0009413734,0.001684409,0.00437594,0.00254196,0.0005059871,0.004866548,-0.001012852,0.002494777,0.002535098,0.0003336743,-0.0005077304,-0.0007386429,-0.001311658,-0.001884365,-0.0005076699,-0.00095415,-0.0002382178,-0.001380516,-0.0008592337,-0.0001136607,-0.0004044895,0.002258599,0.0004690289,-0.0008931413,-0.0009686875,-0.001097929,-0.0006452003,-0.001562449,0.01063254,0.001773621,0.0005411743,-0.001130376,-0.001123032,-0.0008226588,-0.001407547,-0.001077926,-0.001566904,-0.001969621,-0.0008686148,-0.001876253,6.603947E-05,-0.0002752723,-0.0006100382,-0.001814326,0.0004484718,0.005492188,-0.001420338,0.002042128,-0.001974245,-0.0008306121,-0.0002779073,0.0005070762,-0.0003223123,-0.0001533544,-0.0004596975,0.001030625,0.0004996852,-0.0009955963,-0.0009783074,0.02179826
6,-0.0001258851,0.001596448,-0.001276148,0.003102996,0.02340433,0.02490489,0.0009868214,0.008818366,0.002328698,0.003149736,-0.0008127104,0.003912899,0.00219179,-0.0004127651,0.0003148119,0.0009115848,-0.00165618,-1.807731E-05,0.0004273101,0.001203732,0.0006466419,0.002866618,0.0004396069,0.008008173,0.0006455678,0.002929323,-3.556922E-05,0.001099014,0.00178247,0.001522467,0.004357913,-0.0007306756,0.0008267905,-0.0002523877,0.0006019598,0.001324444,0.002233364,0.001747565,0.003614704,0.00260842,0.000261409,0.003330741,-0.0001934374,0.003768751,0.004350797,-0.001817171,0.0005697062,0.0003628276,-0.0006907604,-0.0001158227,0.000760629,-1.141954E-06,-0.001256528,0.0006752376,-0.0007945987,-0.0001233392,0.0009899815,0.00262747,-0.0008964482,-0.000990183,0.001620407,0.0005861048,0.0004011638,0.0006243247,0.0112921,0.002795975,0.0007525304,0.001071949,0.001762922,0.002101291,0.0009851316,0.0007995071,-0.0001252412,0.0004840839,-0.0008419165,-0.000531932,0.001370746,0.000688332,0.0008437664,5.181924E-05,-0.0001178368,0.004660279,0.0005646901,0.003238872,0.0005296991,-0.0004444782,0.0005979098,-0.0007273803,0.000644956,-0.0005399578,-0.0005795558,0.002995999,-0.0003740128,0.001486573,0.0009875217,0.02253171
7,-0.001901197,0.005155747,-0.001035987,0.007447388,0.04599457,0.04881462,0.0007587167,0.009587586,0.002382859,0.00328569,7.912514E-05,0.00263195,-0.0006261553,-0.0001761114,-0.002770594,-0.001621934,-0.001099291,0.0007975113,-5.052217E-05,0.0006626054,0.0001529332,0.002730026,-6.861253E-05,0.01035677,0.002475891,-0.001051655,-3.866122E-05,-0.0010435,-1.260963E-05,0.0005142146,0.005512104,-5.349751E-05,0.0002087372,0.0001054975,0.004224293,0.0007272176,0.001189883,0.001880553,0.004044533,0.001701924,0.002074926,0.00442142,-0.00162294,0.002450219,0.002573343,5.042601E-05,0.0001714895,0.0004710413,0.001311817,0.0005834049,-0.0008251286,-0.0003408265,-0.0001828123,-0.0008426756,-0.0008107977,0.001205341,0.0003649308,0.002753287,0.001661731,-0.0004001209,-0.0008047686,0.0003706479,0.0002264959,0.0004913604,0.01086416,0.0004952834,0.001221711,0.0005594395,0.0008111552,0.002739298,0.001864615,0.0001394857,-0.0009201746,-0.001818754,-0.0009510671,2.40131E-05,-0.00031378,-0.001498518,0.0001431629,-0.002628924,-0.0008479419,0.005231486,9.71308E-05,0.002336937,-0.0008378096,-0.0006180712,-0.001802973,-0.0008280129,0.00117431,-0.0002188462,-0.000425069,0.001425913,-0.001107969,-0.0008882208,-0.001554163,0.02312597
8,-0.0006235964,0.001977168,0.001468069,0.00882028,0.09637498,0.09825796,-0.001122518,0.01085941,0.001170189,0.003053874,0.0002892145,0.004326555,-0.0004154549,0.0001805521,0.001318873,0.001166707,0.001877448,0.0008746163,0.0003432013,-0.0006345655,0.002107353,0.002404569,0.001217953,0.01085792,-0.001769125,5.792521E-05,-0.0007307192,0.001577495,0.0004640469,0.001778187,0.005806786,0.0007742015,-2.476184E-05,-0.002003083,0.001290756,0.0003480422,0.002285414,0.0001675853,0.005294179,0.002606447,0.0008965069,0.00531091,0.0007581082,0.002409626,0.003895466,-0.0005833196,0.001577521,0.0004495671,-0.001210433,0.0004094593,0.0004358855,0.0004460277,-0.0007930967,-0.0008889839,-0.001105183,0.0004747886,-0.000232958,0.003579196,-0.0002632362,0.0005274541,-0.0001251213,0.0001527071,0.0002844057,-0.0002914909,0.01063672,0.003146564,-0.001025373,-0.001424281,0.000340887,0.003405113,0.001977084,0.0009074526,-0.0004592965,-0.0004999706,-0.000712214,-0.0009684026,-0.0003114839,0.0001401511,0.001021657,-3.891284E-05,0.0001728824,0.007478524,0.0007933654,0.003832277,-0.001193545,0.0003742685,-0.0005738083,-2.779074E-06,0.0004906809,-0.0007065256,0.002116726,0.002253169,0.002393036,0.00239852,0.002497649,0.0224855
9,0.005765592,0.006834039,0.001037297,0.007514943,0.1841446,0.189707,0.000804578,0.009393909,0.002063494,0.002178717,0.001313786,0.005293034,0.002226839,-0.002536864,-0.001222921,-6.393902E-05,9.951479E-05,-0.001302516,0.002050161,0.002483928,0.00244695,0.0019009,0.002031243,0.01406466,0.0007226164,0.001390594,0.0007570841,0.0007442246,2.297983E-05,0.0001838318,0.007442219,0.002463602,0.001929643,0.002459001,0.005802637,0.001598006,0.001552436,0.00252785,0.004994167,0.005555033,0.0002413061,0.003172455,0.001110883,0.003908283,0.005596573,0.0001906738,0.0003581533,0.0005234517,-0.0004366275,-0.0006429604,0.0008847457,0.0003269629,0.001748079,0.0005439999,0.001067694,5.796973E-05,0.001439004,0.004275268,-0.000348846,0.00116717,0.0006075396,-0.000367637,-0.0009186062,0.0004669495,0.01276949,0.003568773,0.001257649,0.0001988613,0.0002379843,0.003964905,0.001445599,0.0009784553,0.0007085769,0.001240279,-0.0002336558,0.001748114,0.0006080713,-0.001556201,0.0006515941,0.001222302,0.0002306957,0.006902412,0.0005068409,0.00397665,0.0004618983,-0.000870163,0.001722137,0.002141699,0.0002674428,0.000499867,0.002092348,0.003423017,-0.001335282,0.0008038968,0.001657375,0.02584702
10,0.01420824,0.02020912,0.001811917,0.005934259,0.3355632,0.3449289,0.0009738496,0.01136644,0.003490453,0.002683452,0.00192287,0.003889207,0.001099841,0.0004626763,-0.0002033757,0.001024441,0.0002439103,-0.001121303,-0.001634718,-0.0007228074,0.002438159,0.002625339,0.0009544813,0.01232802,0.001046699,0.0006118068,-0.0004187146,0.001587499,-0.000481325,-0.001325635,0.008081425,0.002880301,0.0008785524,0.0003684221,0.007304588,0.001162299,0.0006009588,0.0003278974,0.005086105,0.00453618,-0.0001572497,0.004169434,-0.001421151,0.004542788,0.004625227,0.001034394,0.00208942,0.001647045,0.001210088,0.001199041,0.001819598,0.001142084,0.0003271121,0.0004146028,0.0009218696,0.0007734439,0.002147822,0.005700949,0.001168497,8.040451E-05,0.002149601,-9.937267E-05,0.0004279455,0.001490607,0.01123546,0.004561102,0.001984961,0.001672628,0.001618097,0.00472097,0.0008802556,-0.0009115031,0.0007085692,0.002081138,0.002413733,0.0006421375,0.001222344,0.001646895,-0.0007518915,0.0003351604,0.002141105,0.009605334,-0.0009348566,0.004355131,0.0001617147,0.0002271439,0.0003521006,0.001492413,-0.001327668,0.001059474,0.00198343,0.003717827,0.001033036,0.001215886,0.0003234983,0.02538274
