Cycle\Fluorescence	A1SYBRGreenI	A2SYBRGreenI	A4SYBRGreenI	A5SYBRGreenI	A7SYBRGreenI	A8SYBRGreenI	B4SYBRGreenI	B5SYBRGreenI	B7SYBRGreenI	B8SYBRGreenI	C4SYBRGreenI	C5SYBRGreenI	C7SYBRGreenI	C8SYBRGreenI	D4SYBRGreenI	D5SYBRGreenI	D7SYBRGreenI	D8SYBRGreenI	E1SYBRGreenI	E2SYBRGreenI	F1SYBRGreenI	F2SYBRGreenI	G1SYBRGreenI	G2SYBRGreenI	H1SYBRGreenI	H2SYBRGreenI	H11SYBRGreenI	H12SYBRGreenI
1	-0.01259764	0.0116025	0.002061925	0.002443666	-0.01092577	-0.007625847	-0.006935338	0.005571762	-0.01240144	-0.001401888	-0.005752727	0.002770633	-0.005189466	-0.00216418	-0.01560306	-0.0193194	-0.02364786	-0.002675239	-0.02329313	-0.02931915	-0.02335965	-0.01023277	-0.008205799	-0.003117412	-0.01540716	-0.02247467	-8.982766E-05	-0.009147852
2	-0.005000359	-0.009098163	-0.001211412	0.0060932	-0.005112615	-0.005779854	-0.005691504	0.002836309	-0.007950161	0.00185142	-0.003826565	0.01186228	-0.007009396	-0.003678509	-0.01133363	-0.01010981	-0.01948161	-0.007282722	-0.02114055	-0.02099545	-0.01157102	-0.01099575	0.002317264	-0.002604492	-0.005779658	-0.01136888	-0.001720763	-0.002010157
3	-0.004016038	0.0202495	0.00011574	0.002099666	0.0001901487	-0.0009562424	-0.003320394	0.004421227	-0.006011504	0.002265786	0.006339977	0.0121476	-0.002938179	-0.003157012	-0.001808898	-0.00919483	-0.01274655	-0.00314312	-0.02039291	-0.01041913	-0.009345775	-0.006150717	0.005162957	0.006059555	-0.003009583	-0.01119679	-0.003833739	-0.0003389092
4	-0.00159218	-0.01095453	0.001945257	0.002405398	0.002451845	-0.000851835	-0.003617201	0.002509527	-0.005525573	0.00389524	0.00963544	0.009224612	-0.004121582	-0.0001280371	-0.0004138329	-0.001913629	-0.01142049	-0.001123862	0.004893061	-0.007943424	-0.003378361	-0.002360018	0.0147767	0.009434253	-0.002774084	8.083416E-05	-0.002866334	9.81319E-05
5	0.001183095	0.02133242	-0.002469347	-0.003378745	0.003442046	0.001030762	-0.003859626	0.002229315	-0.01251871	0.004641527	0.01108002	-0.009652713	-0.003457456	-0.001764535	-0.002977132	-0.002605925	-0.01108151	0.0005314498	-0.0006252456	-0.005910919	-0.001506088	-0.001849237	0.02323878	0.0008153976	-0.004687139	-0.001498487	0.0009343091	0.000870915
6	0.002054245	-0.009471957	0.0004769008	0.002764002	-0.0005406872	0.004482006	-0.002920023	0.004049601	-0.005573419	0.004672208	0.01602467	-0.005499537	0.0003611863	0.0001579045	0.005746515	-0.00471855	-0.00633307	-0.001220281	0.00037094	-0.0100518	-0.0004326175	-0.0006518229	0.02457297	0.003707787	0.0009709335	-0.004897137	-0.003056173	-0.002876997
7	0.001140079	-0.006774987	0.0008893501	-0.002484824	0.001829579	0.004012427	0.0001602592	0.001137506	-0.004507429	0.002244965	0.01634694	0.0006635386	0.001353513	0.002112389	-0.0003770178	-0.002487661	0.0005857843	-0.0009627851	0.001909545	-0.003976713	-0.0002170977	0.0005605182	0.03184436	0.0009824487	0.00146092	-0.001549923	0.003367301	-0.001182105
8	0.003356655	-0.007179013	0.0009091916	0.0007625793	0.0009545097	0.0009371011	-0.0001025561	0.0006325582	7.080259E-05	0.005635416	0.01420767	-0.001019822	0.001505702	0.002202787	-0.0006082478	0.0002484846	0.003516275	0.0009281795	0.0016379	-0.005521857	0.00370052	0.003907393	0.03165523	-0.003282811	0.001117105	0.001316624	0.002423245	0.000195959
9	0.001741369	0.01887055	-0.0003337533	0.002695498	0.0008539782	-0.0001213169	0.00539287	-0.001643385	-0.002901489	-0.03267455	0.01754846	-0.003315045	0.002147042	0.005032486	0.003990547	0.0002523192	0.004296898	0.001747163	0.006148066	-0.009878336	0.0005274847	0.0009899837	0.03649851	-0.006401949	-0.001347244	-0.002138714	0.002360332	0.001389602
10	0.004232214	-0.01482669	-0.001297422	0.0008194358	0.00324663	-0.0001877258	0.006238504	-0.003366114	0.001356032	0.006383035	0.02000651	-0.002068064	0.005741713	0.001743695	0.0007178594	-0.001417927	0.004656954	0.001668625	0.004564347	-0.004824044	0.006156551	0.001510716	0.03850521	-0.006144292	0.003868765	0.005529774	0.003501961	0.002261689
11	0.009785224	0.02330711	0.001261346	0.004786201	0.004075655	0.0007458318	0.006379	0.001903206	0.007083931	0.001666495	0.02263237	-0.005231318	0.002176545	0.001141632	0.002740897	-0.0008257499	0.005588938	0.005444816	0.00673714	-0.005092763	0.002014904	-0.000272256	0.03553094	-0.01047176	0.005586579	0.003801056	0.003850396	0.002008331
12	0.01580161	-0.004435411	0.001096601	0.004382353	0.003463616	-0.0001820857	0.01147749	0.008603721	0.008208102	0.002154503	0.02394383	-0.007724998	0.002284619	0.002965936	0.001754483	0.004894773	0.01100878	0.003966314	0.00340872	-0.006297069	0.004126309	0.002800961	0.04232111	-0.008756282	0.003825644	0.002279013	-0.0003003945	0.0003599888
13	0.02868544	0.007933877	-0.001427935	0.0004933852	0.00128907	0.003566763	0.01177225	0.0146953	0.009485004	0.001615796	0.02411903	-0.0015154	0.004689619	0.002420954	0.004696334	0.0009929803	0.01083637	0.001746498	0.009705647	-0.003752735	0.003001798	0.004595448	0.04323597	-0.009930797	0.005301553	0.002996734	-0.002126148	0.003241799
14	0.05997051	0.06048588	-0.004790051	-0.001533428	-0.000767393	0.0001434438	0.009886282	0.0252423	0.01423157	0.0007392991	0.02705695	-0.001079916	0.00293756	0.0009662102	-0.003361017	-0.0002646401	0.01212135	0.0007715113	0.005539291	-0.001964992	0.003659967	0.004230523	0.0480893	-0.01169152	0.001986817	0.005529649	-0.0001929899	0.002023774
15	0.1138342	0.0758816	0.001564306	0.001399774	0.0004724066	0.003087025	0.01197059	0.04027613	0.01792282	-0.0007204598	0.02882247	-0.002871044	0.005360498	0.002556195	0.003063199	0.006127872	0.01129106	0.0010537	0.00528895	0.001224416	0.004916602	0.004422866	0.04721254	-0.01091436	0.002588321	0.002462269	0.002142058	-0.002981988
